image_path,labels,split
car/scene_7_Harbour_30Sec_groundView_7_000167_b0_a235659.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000208_b14_a233534.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000105_b3_a278469.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000790_b15_a216188.jpg,0,train
car/scene_12_sdu_30Sec_droneView_6_000321_b5_a259418.jpg,0,train
car/scene_7_Harbour_30Sec_droneView_7_000583_b3_a306842.jpg,0,train
car/scene_6_Harbour_30Sec_droneView_6_000405_b0_a805672.jpg,0,train
car/scene_2_Crossroad_campus_30Sec_droneView_01_000375_b47_a333735.jpg,0,train
car/scene_5_Harbour_30Sec_groundView_5_000824_b5_a232473.jpg,0,train
car/scene_5_Harbour_30Sec_droneView_5_000729_b5_a7574.jpg,0,train
car/scene_2_Crossroad_campus_30Sec_droneView_01_000524_b20_a360217.jpg,0,train
car/scene_2_Crossroad_campus_30Sec_droneView_01_000524_b10_a360207.jpg,0,train
car/scene_3_East_of_Campus_drone_000228_b25_a454832.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000810_b1_a216947.jpg,0,train
car/scene_5_Harbour_30Sec_groundView_5_000312_b0_a47127.jpg,0,train
car/scene_5_Harbour_30Sec_groundView_5_000122_b2_a43425.jpg,0,train
car/scene_10_sdu_30Sec_droneView_3_000412_b41_a581328.jpg,0,train
car/scene_1_Cortex_Park_crossroads_ground_000631_b5_a180604.jpg,0,train
car/scene_8_sdu_30Sec_droneView_1_000294_b0_a515308.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000246_b27_a239411.jpg,0,train
car/scene_3_East_of_Campus_drone_000580_b14_a503279.jpg,0,train
car/scene_1_Cortex_Park_crossroads_drone_000083_b4_a118464.jpg,0,train
car/scene_1_Cortex_Park_crossroads_drone_000050_b5_a115952.jpg,0,train
car/scene_3_East_of_Campus_ground_000777_b3_a246744.jpg,0,train
car/scene_10_sdu_30Sec_groundView_3_000332_b8_a139244.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000863_b7_a792417.jpg,0,train
car/scene_7_Harbour_30Sec_groundView_7_000669_b1_a57111.jpg,0,train
car/scene_3_East_of_Campus_drone_000341_b10_a470126.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000656_b11_a761244.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000123_b23_a147956.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000884_b1_a795582.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000656_b14_a761247.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000211_b6_a25445.jpg,0,train
car/scene_1_Cortex_Park_crossroads_drone_000541_b5_a673077.jpg,0,train
car/scene_10_sdu_30Sec_groundView_3_000577_b24_a149984.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000280_b1_a704894.jpg,0,train
car/scene_10_sdu_30Sec_droneView_3_000369_b10_a573643.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000094_b15_a278053.jpg,0,train
car/scene_5_Harbour_30Sec_groundView_5_000030_b4_a41762.jpg,0,train
car/scene_2_Crossroad_campus_30Sec_droneView_01_000594_b7_a371921.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000109_b20_a145759.jpg,0,train
car/scene_10_sdu_30Sec_groundView_3_000058_b17_a258429.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000094_b8_a278046.jpg,0,train
car/scene_12_sdu_30Sec_droneView_6_000419_b1_a263429.jpg,0,train
car/scene_11_sdu_30Sec_groundView_4_000228_b4_a26081.jpg,0,train
car/scene_5_Harbour_30Sec_groundView_5_000640_b0_a1620.jpg,0,train
car/scene_5_Harbour_30Sec_droneView_5_000767_b1_a9128.jpg,0,train
car/scene_1_Cortex_Park_crossroads_drone_000594_b6_a677041.jpg,0,train
car/scene_11_sdu_30Sec_droneView_4_000592_b27_a751691.jpg,0,train
car/scene_7_Harbour_30Sec_droneView_7_000373_b0_a301489.jpg,0,train
car/scene_2_Crossroad_campus_30Sec_groundView_01_000199_b0_a5038.jpg,0,train
car/scene_10_sdu_30Sec_droneView_3_000214_b5_a545949.jpg,0,train
car/scene_10_sdu_30Sec_droneView_3_000689_b12_a630316.jpg,0,train
car/scene_5_Harbour_30Sec_droneView_5_000657_b8_a167464.jpg,0,train
car/scene_4_Harbour_30Sec_droneView_1_000104_b5_a125995.jpg,0,train
car/scene_12_sdu_30Sec_droneView_6_000283_b1_a257853.jpg,0,train
car/scene_5_Harbour_30Sec_droneView_5_000216_b6_a281507.jpg,0,train
car/scene_10_sdu_30Sec_groundView_3_000802_b0_a16160.jpg,0,train
car/scene_3_East_of_Campus_drone_000317_b13_a466840.jpg,0,train
